time,y,true_probs,laplace,k29_poly3,k29_rbf0.01,constant_0.5,constant_0,constant_1,random,mix_01_noiseless,mix_01,mix_10_noiseless,mix_10,k29
1,0,0.5125730221093393,0.5,0.5,0.5,0.5,0.0,1.0,0.7375680088476599,0.2,0.4886246846529015,0.8,0.558225710946074,0.5
2,0,0.4867895136708698,0.25,0.0,0.0,0.5,0.0,1.0,0.520201848615228,0.2,0.44067985948482014,0.8,0.0,0.0
3,1,0.5640422650443282,0.1666666666666666,0.0,0.0,0.5,0.0,1.0,0.2468110011650552,0.2,0.0,0.8,1.0,0.0
4,1,0.510490011715304,0.375,0.0,0.0,0.5,0.0,1.0,0.5596657196962077,0.2,1.0,0.8,0.7013302360075473,0.0
5,1,0.4464330626838889,0.5,1.0,1.0,0.5,0.0,1.0,0.9036579594040448,0.2,0.0,0.8,1.0,1.0
6,1,0.5361595054909485,0.5833333333333334,1.0,1.0,0.5,0.0,1.0,0.7958938116457529,0.2,0.0,0.8,1.0,1.0
7,0,0.6304000045130137,0.6428571428571429,1.0,1.0,0.5,0.0,1.0,0.0947196091830332,0.2,0.0,0.8,1.0,1.0
8,1,0.5947080963129242,0.5625,1.0,1.0,0.5,0.0,1.0,0.3858296106345082,0.2,0.0,0.8,0.07509873985295201,1.0
9,0,0.4296264764193007,0.6111111111111112,0.0,0.5,0.5,0.0,1.0,0.2003622475811461,0.2,1.0,0.8,1.0,0.5
10,0,0.3734578528953947,0.55,0.259765625,0.7490234375,0.5,0.0,1.0,0.6100684940096016,0.2,1.0,0.8,0.1720933287473193,0.7490234375
11,1,0.4376725537462648,0.5,0.1923828125,0.6240234375,0.5,0.0,1.0,0.9006078703181721,0.2,0.28888712970362485,0.8,1.0,0.6240234375
12,1,0.5041325979347243,0.5416666666666666,0.14453125,0.5615234375,0.5,0.0,1.0,0.952609332186534,0.2,0.0,0.8,0.6470955392538633,0.5615234375
13,1,0.2674969225361165,0.5769230769230769,0.341796875,0.591796875,0.5,0.0,1.0,0.2635999912940802,0.2,0.13200967777051234,0.8,0.7411291795152604,0.591796875
14,0,0.4781208336067454,0.6071428571428571,0.517578125,0.6064453125,0.5,0.0,1.0,0.3667060632603781,0.2,0.022734264748430405,0.8,0.7664857580089969,0.6064453125
15,1,0.3754089052746935,0.5666666666666667,0.6982421875,0.61328125,0.5,0.0,1.0,0.4701007934868482,0.2,0.7920009425384507,0.8,0.5351874556645184,0.61328125
16,0,0.4267732645296548,0.59375,0.404296875,0.6044921875,0.5,0.0,1.0,0.3564759442636098,0.2,0.0,0.8,0.66601499930719,0.6044921875
17,1,0.445574101714269,0.5588235294117647,0.5595703125,0.609375,0.5,0.0,1.0,0.923053576969391,0.2,0.46957717038780683,0.8,1.0,0.609375
18,0,0.4683699843630845,0.5833333333333334,0.390625,0.603515625,0.5,0.0,1.0,0.6765611913315889,0.2,0.0,0.8,1.0,0.603515625
19,1,0.5411630536374132,0.5526315789473685,0.537109375,0.6064453125,0.5,0.0,1.0,0.9555580016648672,0.2,0.0,0.8,0.0,0.6064453125
20,0,0.6042513369442678,0.575,0.3876953125,0.6015625,0.5,0.0,1.0,0.6268570316516312,0.2,0.0,0.8,0.0,0.6015625
