time,y,true_probs,constant_0.5,constant_0,constant_1,laplace,k29_epa,k29_poly3,k29_rbf0.01,mix_01_noiseless,mix_01,mix_10_noiseless,mix_10
1,0,0.1764055404989933,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.2,1.0,0.8,1.0
2,0,0.0499993690161098,0.5,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.2,0.0,0.8,0.6905480798494913
3,0,0.1177410386184888,0.5,0.0,1.0,0.25,0.0,0.0,0.0,0.2,0.0,0.8,1.0
4,0,0.2536416483296214,0.5,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.8,0.3843494592707136
5,0,0.2256979416053675,0.5,0.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.2,0.0,0.8,0.6261154055425222
6,0,0.0,0.5,0.0,1.0,0.1428571428571428,0.0,0.0,0.0,0.2,0.4449367000083896,0.8,0.45344032775170134
7,0,0.1514733986875998,0.5,0.0,1.0,0.125,0.0,0.0,0.0,0.2,1.0,0.8,1.0
8,0,0.0492863581094092,0.5,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.2,0.0,0.8,0.4112185454878216
9,0,0.06141403474712,0.5,0.0,1.0,0.1,0.0,0.0,0.0,0.2,1.0,0.8,0.9127790022412767
10,0,0.1193928526154663,0.5,0.0,1.0,0.0909090909090909,0.0,0.0,0.0,0.2,0.4963307300209948,0.8,1.0
11,0,0.0985517676793615,0.5,0.0,1.0,0.0833333333333333,0.0,0.0,0.0,0.2,0.15275293364058662,0.8,0.7940817822962275
12,0,0.2345483994097771,0.5,0.0,1.0,0.0769230769230769,0.0,0.0,0.0,0.2,1.0,0.8,1.0
13,0,0.169307994444861,0.5,0.0,1.0,0.0714285714285714,0.0,0.0,0.0,0.2,0.0,0.8,1.0
14,0,0.1085236341517977,0.5,0.0,1.0,0.0666666666666666,0.0,0.0,0.0,0.2,0.0,0.8,1.0
15,0,0.1429316108627968,0.5,0.0,1.0,0.0625,0.0,0.0,0.0,0.2,0.9069832760806467,0.8,0.0
16,0,0.1331172466171116,0.5,0.0,1.0,0.0588235294117647,0.0,0.0,0.0,0.2,0.5036631525331365,0.8,0.49865145669449307
17,1,0.249365583470323,0.5,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.2,0.917073137965595,0.8,1.0
18,0,0.0786509711514747,0.5,0.0,1.0,0.1052631578947368,1.0,1.0,1.0,0.2,0.38645331612844147,0.8,1.0
19,0,0.1286918503693798,0.5,0.0,1.0,0.1,0.5,0.0,0.5,0.2,0.0,0.8,1.0
20,0,0.00922075258997,0.5,0.0,1.0,0.0952380952380952,0.0,0.0,0.25,0.2,0.0,0.8,0.0
21,0,0.0,0.5,0.0,1.0,0.0909090909090909,0.0,0.0,0.125,0.2,0.285528397744768,0.8,1.0
22,0,0.1516831152340028,0.5,0.0,1.0,0.0869565217391304,0.0,0.0,0.0634765625,0.2,0.0,0.8,1.0
